,DIVERSIDADE (DI),DI RELATIVO,FRAC Its,VELOC FOBJ,VELOC X,NP,Fo,CRo,fmin,fmax,AD_fmin,AD_fmax,DELTA FOBJ,DELTA VX,r_fitness,F,CR
99,2.28956170193072,0.7250039262317106,0.24,2.0,2.0,360.0,0.2671423651645956,0.3266426149265372,0.005630742548226457,1.7717208354878182,0.0779187909902358,0.7618146367618445,2.0,2.0,0.9968218793641516,0.17559219120252398,0.27635632232576657
100,2.0892838111379426,0.6615846888118478,0.36,2.0,2.0,360.0,0.17559219120252398,0.27635632232576657,0.000574564720503171,1.7566082431857613,0.0079508853377342,0.7553164380702028,0.0,0.0,0.9996729124306846,0.3464599530532583,0.05764631241475101
101,1.7675728566275788,0.5597129179243985,0.48,2.0,2.0,360.0,0.3464599530532583,0.05764631241475101,0.00022519106855377677,0.3477314418477573,0.003116217027012954,0.14951955000799172,0.0,0.0,0.9993523994627661,0.09827570518443143,0.3291991885531177
102,1.6212632710520078,0.5133830793801157,0.6,2.0,2.0,360.0,0.09827570518443143,0.3291991885531177,6.21055740286286e-05,0.1031904364073255,0.0008594232822080551,0.04437041279547757,0.0,0.0,0.9993981460279568,0.482459684683875,0.0672688738871256
103,1.4344650110282813,0.4542322507231505,0.72,2.0,2.0,360.0,0.482459684683875,0.0672688738871256,2.108557717814843e-05,0.07894626573506343,0.00029178437248389666,0.033945765918648264,0.0,0.0,0.9997329122919012,0.06263604037266518,0.06613080137276567
104,1.2627541116294578,0.3998589284685261,0.84,2.0,2.0,360.0,0.06263604037266518,0.06613080137276567,6.05391488921549e-06,0.01953763608581671,8.3774693104027e-05,0.008400904273275901,0.0,0.0,0.9996901408715658,0.07836984483066417,0.06934508566145481
105,1.129491396129483,0.3576604623270337,0.96,2.0,2.0,360.0,0.07836984483066417,0.06934508566145481,7.2454613163799e-08,0.008821883357559115,1.0026343437006651e-06,0.0037932837560968376,0.0,0.0,0.9999917869450062,0.288209549100842,0.2272068500790533
106,1.0719556384397289,0.3394414074797185,1.000033333333333,0.0,0.0,360.0,0.288209549100842,0.2272068500790533,7.2454613163799e-08,0.0014552484825032224,1.0026343437006651e-06,0.0006257360481913464,-2.0,-2.0,0.9999502115178028,0.0379423043900986,0.4092312490506229
107,1.0719556384397289,0.3394414074797185,1.000033333333333,0.0,0.0,360.0,0.0379423043900986,0.4092312490506229,7.2454613163799e-08,0.0014552484825032224,1.0026343437006651e-06,0.0006257360481913464,0.0,0.0,0.9999502115178028,0.3131624738895111,0.3520271090933002
108,48.47165019334165,0.4778160518847786,0.24,1.0,2.0,360.0,0.107003339447114,0.57795567582858,16.083853080231098,19.831411599518386,0.8996058714383752,0.9516081288862732,1.0,2.0,0.1889708405516779,0.32345267402958144,0.4109227052684762
109,44.460435871492926,0.4382749472827174,0.36,1.0,2.0,360.0,0.32345267402958144,0.4109227052684762,15.111346783635133,19.44083266977503,0.8452114194333491,0.932866241418994,0.0,0.0,0.22270064043455395,0.7563743160443992,0.2265866191661532
110,29.64631239229709,0.2922426590332184,0.48,1.0,2.0,360.0,0.7563743160443992,0.2265866191661532,12.553675015923474,17.23572778596107,0.7021551176897302,0.8270545233799641,0.0,0.0,0.27164810376334936,0.2384186411608622,0.5002306644631154
